Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
23.70	81.00	6.88
23.70	81.00	6.97
23.60	81.00	6.99
23.70	81.00	6.90
23.70	81.00	6.88
23.70	82.00	6.92
23.70	81.00	7.14
23.70	81.00	6.93
23.70	81.00	6.86
23.70	81.00	6.90
23.70	81.00	6.95
23.60	82.00	6.95
23.70	81.00	6.95
23.60	81.00	6.84
23.60	81.00	6.90
23.70	81.00	6.90
23.70	81.00	6.97
23.60	81.00	6.95
23.70	81.00	6.88
23.70	82.00	6.90
23.60	82.00	6.99
23.70	82.00	6.95
23.70	82.00	6.86
23.60	82.00	6.86
23.60	82.00	6.93
23.70	81.00	6.99
23.70	82.00	6.93
23.60	82.00	6.86
23.60	82.00	6.90
23.60	82.00	6.99
23.60	82.00	6.51
23.70	82.00	6.90
23.60	82.00	6.74
23.70	82.00	6.95
23.70	82.00	6.97
23.70	82.00	6.92
23.60	82.00	5.93
23.60	82.00	6.92
23.60	82.00	6.97
23.70	81.00	6.97
23.60	81.00	22.76
23.60	80.00	26.36
23.70	79.00	7.01
23.60	77.00	7.10
23.60	75.00	7.14
23.60	74.00	7.06
23.60	73.00	6.93
23.60	72.00	7.01
23.60	72.00	6.99
23.60	71.00	7.02
23.50	71.00	7.04
23.60	70.00	5.97
23.60	70.00	7.01
23.60	70.00	7.02
23.60	70.00	7.02
